Action,portion_code,portiondesc,Active
,1000000,"cup, Better Cheddars",1
,1000100,"cup, Boston Baked Beans",1
,1000200,"cup, Cheez-its",1
,1001000,cup,1
,1001001,"cup, raw",1
,1001600,"cup, Teddy Grahams",1
,1001900,"cup, acorn",1
,1002100,"cup, balls",1
,1002300,"cup, bite size",1
,1002400,"cup, Nibs",1
,1002500,"cup, boneless",1
,1002600,"cup cooked, no bone",1
,1002700,"cup, butternut",1
,1002900,cup,1
,1002901,"cup, canned",1
,1003100,"cup, cherry tomatoes",1
,1003300,"cup, chicory",1
,1003400,cup,1
,1003500,cup,1
,1003600,cup,1
,1003601,"cup, chopped",1
,1003700,"cup, chopped or diced",1
,1003800,"cup, chopped or sliced",1
,1003900,"cup, chunks",1
,1004000,"cup, chunks or flakes",1
,1004100,"cup, coarse grain",1
,1004200,cup common guava,1
,1004300,cup,1
,1004301,"cup, cooked",1
,1004302,"cup, elbow",1
,1004303,"cup, rotini",1
,1004304,"cup, shells",1
,1004305,"cup, fusilli",1
,1004306,"cup, ziti",1
,1004900,cup,1
,1004901,"cup, cooked, diced",1
,1005100,"cup, cooked, flaked",1
,1005200,"cup, cooked, flaked and pieces",1
,1005700,"cup, corn nuts",1
,1005900,"cup, crumbled",1
,1006000,"cup, crumbs",1
,1006100,"cup, crushed",1
,1006200,"cup, crushed, sliced, or chunks",1
,1006300,"cup, cubes",1
,1006400,"cup, cubes, all varieties",1
,1006500,"cup, curls",1
,1006600,cup,1
,1006601,"cup, cooked, diced",1
,1006602,"cup, diced",1
,1006700,"cup, diced",1
,1006800,"cup, cooked, diced",1
,1006900,"cup, drained",1
,1007100,cup,1
,1007200,"cup, dry type",1
,1007500,"cup, endive",1
,1007600,"cup, escarole",1
,1007700,"cup, fine grain",1
,1007800,"cup, flaked",1
,1008000,"cup, flakes, dry",1
,1008100,"cup, flowerets",1
,1008200,cup,1
,1008500,"cup, cut stalks",1
,1008800,cup,1
,1009200,"cup, chopped",1
,1009400,"cup, leaves",1
,1009600,"cup, spears",1
,1009700,"cup, granules, dry",1
,1009800,"cup, grated",1
,1009900,"cup, ground",1
,1010500,"cup, halves",1
,1010501,cup,1
,1010600,"cup, halves and whole",1
,1010700,"cup, hearts",1
,1010800,"cup, homemade",1
,1010900,"cup, hubbard",1
,1011100,"cup, hulled",1
,1011200,"cup, husks",1
,1011300,"cup, in shell",1
,1011400,"cup, in shell (7 nuts)",1
,1011500,"cup, leaves only",1
,1011800,"cup, mashed",1
,1011900,"cup, mashed or pureed",1
,1012100,"cup, mixed greens",1
,1012300,"cup, morsels",1
,1012400,"cup, mung",1
,1012500,"cup, oyster crackers",1
,1012700,"cup, pared, chopped",1
,1012900,"cup, pieces",1
,1012901,cup,1
,1013000,"cup, pieces or slices",1
,1013001,"cup, sliced",1
,1013100,"cup, pieces, without seeds",1
,1013200,cup,1
,1013201,"cup, pitted",1
,1013300,"cup, pitted, chopped",1
,1013400,"cup, popped",1
,1014000,"cup, pureed",1
,1014100,"cup, quartered or chopped",1
,1014500,"cup, rings",1
,1014600,"cup, roasted",1
,1014700,"cup, romaine",1
,1014900,"cup, sauce",1
,1015000,"cup, sections",1
,1015100,"cup, seedless",1
,1015200,"cup, morsels",1
,1015300,"cup, shell removed",1
,1015400,"cup, shelled",1
,1015500,"cup, shelled (32 nuts)",1
,1015600,"cup, shelled (50 halves)",1
,1015900,"cup, shredded",1
,1016000,"cup, shredded or chopped",1
,1016100,"cup, sliced",1
,1016101,cup,1
,1016102,"cup, sliced stewed apples",1
,1016200,"cup, sliced or chopped",1
,1016300,"cup, sliced or cubed",1
,1016400,"cup, sliced, blanched",1
,1016500,"cup, sliced, unblanched",1
,1016600,"cup, slices",1
,1016700,"cup, slivered, blanched",1
,1016800,"cup, slivered, unblanched",1
,1016900,"cup, small pieces",1
,1017000,"cup, solid or chunks, drained",1
,1017100,"cup, solid pack",1
,1017200,"cup, drained",1
,1017300,"cup, soybean",1
,1017600,"cup, stalks and leaves",1
,1017700,cup,1
,1017800,cup strawberry guava,1
,1017900,"cup, strips",1
,1018000,"cup, slices",1
,1018100,cup,1
,1018101,"cup, sugar-coated",1
,1018500,"cup, thin sticks",1
,1018800,"cup, unpared, chopped",1
,1019000,"cup, wafer slices or shaved",1
,1019100,"cup, packed",1
,1019101,"cup, unpacked",1
,1019200,"cup, whole",1
,1019300,cup,1
,1019400,"cup, whole, blanched",1
,1019500,"cup, whole, unblanched",1
,1019600,"cup, with bones",1
,1019900,"cup, with hulls",1
,1020000,"cup, with pits",1
,1020001,cup,1
,1020100,"cup, with seeds",1
,1020500,cup,1
,1020501,cup (8 fl oz),1
,1020502,cup (drink box),1
,1020503,cup (school carton),1
,1020504,"cup, bridge mix",1
,1020505,"cup, candy corn",1
,1020506,"cup, Good & Plenty",1
,1020507,"cup, malted milk balls",1
,1020508,"cup, Mentos (75 pieces)",1
,1020509,"cup, mints",1
,1020510,"cup, pieces",1
,1020511,"cup, prepared",1
,1020512,cup (about 13 chips),1
,1020513,cup (about 51 chips),1
,1020514,"cup, regular or quick",1
,1020515,"cup, steel cut",1
,1020516,"cup, thawed",1
,1020517,"cup, seeds",1
,1020518,"cup, frozen",1
,1020700,"cup (1/2"" cubes)",1
,1020900,cup (17 chestnuts),1
,1021000,cup,1
,1021100,cup,1
,1021200,cup (8 medium clams),1
,1021500,cup,1
,1021600,cup (12 medium clams),1
,1021700,cup (84 Junior Mints),1
,1021800,cup,1
,1022000,"cup, pieces",1
,1022500,"cup, cheese balls",1
,1022600,cup Ritz Bits sandwiches,1
