Action,Food_Item_ID,foodcode,modcode,foodname,All Foods,Beverages,"Breads, cereals, bakery items",Pasta and rice*,Fruits*,Vegetables*,Dairy*,"Meat, poultry, fish, eggs, and soy*",Meals and entrees (mixed dishes),Snacks,Additions to foods**,Fast foods,Sweets and desserts,Recipe Ingredients,,
,,11111000,000000,whole milk,X,X,,,,X,X,,,,,,,X,,
,,11111100,000000,"Whole milk, low sodium",X,X,,,,,X,,,,,,,X,,
,,11111150,000000,"Whole milk, calcium fortified",X,X,,,,,X,,,,,,,X,,
,,11111160,000000,"Milk, low fat (1%), calcium fortified ",X,X,,,,,X,,,,,,,X,,
,,11111170,000000,"Skim milk, calcium fortified ",X,X,,,,,X,,,,,,,X,,
,,11112110,000000,2% reduced fat milk,X,X,,,,,X,,,,,,,X,,
,,11112120,000000,"Milk, low fat (1%), acidophilus ",X,X,,,,,X,,,,,,,X,,
,,11112130,000000,reduced fat acidophilus milk,X,X,,,,,X,,,,,,,X,,
,,11112210,000000,1% low fat milk,X,X,,,,,X,,,,,,,X,,
,,11113000,000000,fat free (skim) milk,X,X,,,,,X,,,,,,,X,,
,,11114300,000000,"Low fat milk, lactose-free (Lactaid)",X,X,,,,,X,,,,,,,X,,
,,11114310,000000,"Milk, low fat (1%), lactose-free, calcium fortified",X,X,,,,,X,,,,,,,X,,
,,11114320,000000,"Skim milk, lactose-free",X,X,,,,,X,,,,,,,X,,
,,11114321,000000,"Skim milk, lactose-free, calcium fortified",X,X,,,,,X,,,,,,,X,,
,,11114330,000000,"reduced fat milk, lactose-free  (Lactaid)",X,X,,,,,X,,,,,,,X,,
,,11114350,000000,"Whole milk, lactose-free (Lactaid)",X,X,,,,,X,,,,,,,X,,
,,11115000,000000,Kefir milk,X,X,,,,,X,,,,,,,X,,
,,11115100,000000,1% low fat buttermilk,X,X,,,,,X,,,,,,,X,,
,,11115200,000000,reduced fat buttermilk,X,X,,,,,X,,,,,,,X,,
,,11115300,000000,buttermilk,X,,,,,,X,,,,,,,X,,
,,11116000,000000,"Milk, goat's",X,X,,,,,X,,,,,,,X,,
,,11121100,000000,"Powdered milk, whole, reconstituted",X,X,,,,,X,,,,,,,X,,
,,11121210,000000,"Powdered milk,  low fat, reconstituted",X,X,,,,,X,,,,,,,X,,
,,11121300,000000,"Powdered milk, fat free, reconstituted",X,X,,,,,X,,,,,,,X,,
,,11122000,000000,"Buttermilk, dry, reconstituted",X,X,,,,,X,,,,,,,X,,
,,11211050,000000,evaporated whole milk,X,X,,,,,X,,,,X,,,X,,
,,11211400,000000,"Evaporated milk, reduced fat (2%)",X,X,,,,,X,,,,X,,,X,,
,,11212050,000000,fat free (skim) evaporated milk,X,X,,,,,X,,,,X,,,X,,
,,11220000,000000,Sweetened condensed milk,X,,,,,,X,,,,X,,X,X,,
,,11320000,000000,soy milk,X,X,,,,,X,,,,,,,X,,
,,11320100,000000,light soy milk,X,X,,,,,,X,,,,,,X,,
,,11320200,000000,"Soymilk (soy beverage), fat free (nonfat)",X,X,,,,,,X,,,,,,X,,
,,11321000,000000,"Soymilk (soy beverage), chocolate",X,X,,,,,X,X,,,,,,X,,
,,11321100,000000,"Soymilk (soy beverage), light, chocolate",X,X,,,,,,X,,,,,,X,,
,,11321200,000000,"Soymilk (soy beverage), fat free (nonfat), chocolate",X,X,,,,,,X,,,,,,X,,
,,11350000,000000,Almond milk,X,X,,,,,,,,,,,,X,,
,,11350010,000000,"Almond milk, chocolate, sweetened",X,X,,,,,,,,,,,,X,,
,,11350020,000000,"Almond milk, unsweetened",X,X,,,,,,,,,X,,,X,,
,,11350030,000000,"Almond milk, chocolate, unsweetened",X,X,,,,,,,,,X,,,X,,
,,11370000,000000,Coconut milk,X,X,,,,,,,,,X,,,X,,
,,11411100,000000,"Yogurt, plain, whole milk",X,,,,,,X,,,,,,,X,,
,,11411300,000000,fat free plain yogurt,X,,,,,,X,,,,,,,X,,
,,11411400,000000,"Greek yogurt, plain, whole milk",X,,,,,,X,,,,,,,X,,
,,11411410,000000,"Greek yogurt, plain, low fat",X,,,,,,X,,,,,,,X,,
,,11411420,000000,"Greek yogurt, plain, fat free",X,,,,,,X,,,,,,,X,,
,,11421000,000000,"Yogurt, maple, whole milk",X,,,,,,X,,,,,,,X,,
,,11422000,000000,low fat lemon yogurt,X,,,,,,X,,,,,,,X,,
,,11422100,000000,"Yogurt, coffee, lowfat, low calorie sweetener",X,,,,,,X,,,X,,,,,,
,,11423000,000000,fat free lemon yogurt,X,,,,,,X,,,,,,,X,,
,,11424000,000000,"Yogurt, maple, light (fat free, low calorie sweetener)",X,,,,,,X,,,,,,,X,,
,,11424500,000000,"Greek yogurt, vanilla, whole milk",X,,,,,,X,,,,,,,X,,
,,11424510,000000,"Greek yogurt, vanilla, low fat",X,,,,,,X,,,,,,,X,,
,,11424520,000000,"Greek yogurt, vanilla, fat free",X,,,,,,X,,,,,,,X,,
,,11426000,000000,"Yogurt, chocolate, whole milk",X,,,,,,X,,,,,,,X,,
,,11427000,000000,"Yogurt, chocolate, fat free ",X,,,,,,X,,,,,,,X,,
,,11428000,000000,"Greek yogurt, chocolate, fat free",X,,,,,,X,,,,,,,X,,
,,11431000,000000,"Yogurt, fruit, whole milk",X,,,,,,X,,,,,,,X,,
,,11432000,000000,low fat strawberry yogurt,X,,,,,,X,,,,,,,X,,
,,11432500,000000,"Yogurt, fruit, lowfat, low calorie sweetener",X,,,,,,X,,,,,,,X,,
,,11433000,000000,fat free strawberry yogurt,X,,,,,,X,,,,,,,X,,
,,11433500,000000,"Yogurt, strawberry, light (fat free, low calorie sweetener)",X,,,,,,X,,,,,,,X,,
,,11434000,000000,"Greek yogurt, fruit, whole milk",X,,,,,,X,,,,,,,X,,
,,11434010,000000,"Greek yogurt, fruit, low fat",X,,,,,,X,,,,,,,X,,
,,11434020,000000,"Greek yogurt, fruit, fat free",X,,,,,,X,,,,,,,X,,
,,11446000,000000,Fruit and low fat yogurt parfait,X,,,,,,X,,,,,X,,,,
,,11460160,000000,"Frozen yogurt, chocolate, low fat",X,,,,,,X,,,,,,X,,,
,,11460170,000000,low fat frozen vanilla yogurt,X,,,,,,X,,,,,,X,,,
,,11460200,000000,"Frozen yogurt, chocolate, nonfat",X,,,,,,X,,,,,,X,,,
,,11460250,000000,"Frozen yogurt, vanilla, with sorbet",X,,,,,,X,,,,,,X,,,
,,11460300,000000,"Frozen yogurt, vanilla, nonfat",X,,,,,,X,,,,,,X,,,
,,11460400,000000,"Frozen yogurt, chocolate, nonfat, low-calorie sweetener",X,,,,,,X,,,,,,X,,,
,,11460410,000000,"Frozen yogurt, vanilla, nonfat, low-calorie sweetener",X,,,,,,X,,,,,,X,,,
,,11460430,000000,"Frozen yogurt, chocolate, whole milk",X,,,,,,X,,,,,,X,,,
,,11460440,000000,"Frozen yogurt, vanilla, whole milk",X,,,,,,X,,,,,,X,,,
,,11461000,000000,"Frozen yogurt, chocolate-coated",X,,,,,,X,,,,,,X,,,
,,11461100,000000,"Frozen yogurt, carob-coated",X,,,,,,X,,,,,,X,,,
,,11461200,000000,"Frozen yogurt, sandwich",X,,,,,,X,,,,,,X,,,
,,11461250,000000,"Frozen yogurt, cone, chocolate",X,,,,,,X,,,,,,X,,,
,,11461260,000000,"Frozen yogurt, cone, vanilla",X,,,,,,X,,,,,,X,,,
,,11461270,000000,"Frozen yogurt, cone, vanilla, low fat",X,,,,,,X,,,,,X,X,,,
,,11461280,000000,"Frozen yogurt, cone, chocolate, low fat",X,,,,,,X,,,,,X,X,,,
,,11511100,000000,"Milk, chocolate flavored, whole",X,X,,,,,X,,,,,,,X,,
,,11511200,000000,"Milk, chocolate flavored, reduced fat (2%)",X,X,,,,,X,,,,,,,X,,
,,11511300,000000,"Chocolate milk, fat free (skim)",X,X,,,,,X,,,,,,,X,,
,,11511400,000000,"Milk, chocolate flavored, low fat (1%)",X,X,,,,,X,,,,,,,X,,
,,11512000,000000,"Hot cocoa, homemade, with whole milk",X,X,,,,,X,,,,,,,,,
,,11512500,000000,"Hot chocolate, Puerto Rican style, with whole milk",X,X,,,,,X,,,,,,,,,
,,11512500,206723,"Hot chocolate, Puerto Rican style, with reduced fat (2%) milk",X,X,,,,,X,,,,,,,,,
,,11512500,206744,"Hot chocolate, Puerto Rican style, with low fat (1%) milk",X,X,,,,,X,,,,,,,,,
,,11513100,000000,"Hot cocoa, (Hershey's), (Nestle's Quick), made from mix, with whole milk  ",X,X,,,,,X,,,,,,,,,
,,11513150,000000,"Hot cocoa, (Hershey's), (Nestle's Quick), made from mix, with reduced fat (2%) milk ",X,X,,,,,X,,,,,,,,,
,,11513200,000000,"Hot cocoa, (Hershey's), (Nestle's Quick), made from mix, with low fat (1%) milk ",X,X,,,,,X,,,,,,,,,
,,11513300,000000,"Hot cocoa, (Hershey's), (Nestle's Quick), made from mix, with fat free (skim) milk ",X,X,,,,,X,,,,,,,,,
,,11513355,000000,"Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with whole milk",X,X,,,,,X,,,,,,,,,
,,11513360,000000,"Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with reduced fat (2%) milk",X,X,,,,,X,,,,,,,,,
,,11513365,000000,"Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with low fat (1%) milk",X,X,,,,,X,,,,,,,,,
,,11513370,000000,"Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with fat free (skim) milk",X,X,,,,,X,,,,,,,,,
,,11513500,000000,"Milk, whole, with chocolate syrup",X,X,,,,,X,,,,,,,,,
,,11513550,000000,"Milk, reduced fat (2%), with chocolate syrup",X,X,,,,,X,,,,,,,,,
,,11513600,000000,"Milk, low fat (1%), with chocolate syrup",X,X,,,,,X,,,,,,,,,
,,11513700,000000,"Milk, fat free (skim), with chocolate syrup",X,X,,,,,X,,,,,,,,,
,,11514100,000000,"Hot cocoa, (Swiss Miss), (Carnation), dry mix (with milk & sugar), made with water",X,X,,,,,X,,,,,,,,,
,,11514300,000000,"Hot cocoa, (Carnation), (Swiss Miss), (Nutrisystem), made from mix (with milk & low calorie sweetener), with water",X,X,,,,,X,,,,,,,,,
,,11514500,000000,Ovaltine sugar free Hot Cocoa ,X,X,,,,,X,,,,,,,,,
,,11515400,000000,Alba High Calcium Cocoa,X,X,,,,,X,,,,,,,,,
,,11516000,000000,"Chocolate Milk, (Nestle's Quik), (Swiss Miss), with 1% fat milk",X,X,,,,,X,,,,,,,,,
,,11518000,000000,"Chocolate beverage, (Jenny Craig), (Alba), from dry mix with milk and low calorie sweetener, water added",X,X,,,,,X,,,,,,,,,
,,11519050,000000,Vanilla-flavored whole milk,X,X,,,,,X,,,,,,,,,
,,11519105,000000,"Vanilla-flavored milk, reduced fat (2%) ",X,X,,,,,X,,,,,,,,,
,,11519200,000000,"Vanilla-flavored milk, low fat (1%)",X,X,,,,,X,,,,,,,,,
,,11519205,000000,"Strawberry milk, fat free (skim)",X,X,,,,,X,,,,,,,,,
,,11521000,000000,"Malted milk, chocolate, with 2% milk",X,X,,,,,X,,,,,,,,,
,,11522000,000000,"Malted milk, natural flavor, with 2% milk",X,X,,,,,X,,,,,,,,,
,,11522000,205085,"Malted milk, natural flavor, with whole milk",X,X,,,,,X,,,,,,,,,
,,11525000,206681,"Ovaltine, natural flavor, with whole milk",X,X,,,,,X,,,,,,,,,
,,11525000,206746,"Ovaltine, natural flavor, with 2% milk",X,X,,,,,X,,,,,,,,,
,,11525000,206771,"Ovaltine, natural flavor, with skim milk",X,X,,,,,X,,,,,,,,,
,,11526000,201243,"Ovaltine, chocolate, with skim milk",X,X,,,,,X,,,,,,,,,
,,11526000,201914,"Ovaltine, chocolate, with whole milk",X,X,,,,,X,,,,,,,,,
,,11526000,202280,"Ovaltine, chocolate, with 2% milk",X,X,,,,,X,,,,,,,,,
,,11526000,202663,"Ovaltine, chocolate, with 1% milk",X,X,,,,,X,,,,,,,,,
,,11531000,000000,"Eggnog, with whole milk",X,X,,,,,X,,,,,,,,,
,,11531500,000000,"Eggnog, with reduced fat milk ",X,X,,,,,X,,,,,,,,,
,,11541110,000000,"Milk shake, homemade, chocolate, with whole milk",X,X,,,,,X,,,,,,X,,,
,,11541110,100566,"Milk shake, homemade, chocolate, with 2% milk",X,X,,,,,X,,,,,,X,,,
,,11541110,205157,"Milk shake, homemade, chocolate, with low fat milk",X,X,,,,,X,,,,,,X,,,
,,11541120,000000,"Milk shake, homemade, vanilla or strawberry, with whole milk",X,X,,,,,X,,,,,,X,,,
