Food_Item_ID,foodcode,modcode,Food_Category,foodname,_203 Protein (g),_204 Total Fat (g),_205 Carbohydrate (g),_208 Energy (kcal),_221 Alcohol (g),_255 Water (g),_262 Caffeine (mg),_263 Theobromine (mg),"_269 Sugars, total (g)","_291 Fiber, total dietary (g)",_301 Calcium (mg),_303 Iron (mg),_304 Magnesium (mg),_305 Phosphorus (mg),_306 Potassium (mg),_307 Sodium (mg),_309 Zinc (mg),_312 Copper (mg),_317 Selenium (mcg),_319 Retinol (mcg),"_320 Vitamin A, RAE (mcg_RAE)","_321 Carotene, beta (mcg)","_322 Carotene, alpha (mcg)",_323 Vitamin E (alpha-tocopherol)(mg),_328 Vitamin D (mcg),"_334 Cryptoxanthin, beta (mcg)",_337 Lycopene (mcg),_338 Lutein + zeaxanthin (mcg),_401 Vitamin C (mg),_404 Thiamin (mg),_405 Riboflavin (mg),_406 Niacin (mg),_415 Vitamin B-6 (mg),"_417 Folate, total (mcg)",_418 Vitamin B-12 (mcg),"_421 Choline, total (mg)",_430 Vitamin K (phylloquinone)(mcg),_431 Folic acid (mcg),"_432 Folate, food (mcg)","_435 Folate, DFE (mcg_DFE)","_573 Vitamin E, added (mg)","_578 Vitamin B-12, added (mcg)",_601 Cholesterol (mg),"_606 Fatty acids, total saturated (g)"
6389,26153170,000000,Proteins,"Tuna, fresh, dried",76.25,1.53,0,341,0,18.84,0,0,0,0,12,2.41,109,869,1378,141,1.1598,0.112,283.1,51,51,0,0,0.75,5.2999,0,0,0,0,0.332,0.341,54.8479,2.624,6,5.8498,203.0998,0.3,0,6,6,0,0,122,0.538
6541,95201200,000000,Proteins,EAS whey protein powder,66.67,5.1299,17.9499,385,0,6.61,0,0,5.1299,0,256,0.92,181,643,564,385,7.1398,1,24.8,15,15,0,0,0.38,0,0,0,0,0.8,0.714,0.857,10,1,200,2.27,81.5999,0.5,200,0,340,0,0,205,2.564
962,26137170,000000,Proteins,"Salmon, dried",64.06,13.75,0,397,0,23.5,0,0,0,0,22,1.1899,84,816,1144,234,1.22,0.197,98.0999,98,98,0,0,1.25,34.1,0,0,0,0,0.225,0.312,23.7349,1.718,11,11.67,295.6,1.2,0,11,11,0,0,144,2.531
864,26109170,000000,Proteins,"Cod, dried, salted",62.82,2.37,0,290,0,16.14,0,0,0,0,160,2.5,133,950,1458,7027,1.59,0.176,147.8,42,42,0,0,2.8399,4,0,0,0,3.5,0.268,0.24,7.5,0.864,25,10,291.3,0.4,0,25,25,0,0,152,0.462
565,22709010,000000,Proteins,"Pork, skin, deep-fried (pork rinds)",61.2999,31.3,0,544,0,1.8,0,0,0,0,30,0.88,11,85,127,1818,0.56,0.094,41,12,12,0,0,0.53,0,0,0,0,0.5,0.099,0.283,1.5489,0.023,0,0.64,164.5,0,0,0,0,0,0,95,11.3698
6544,95201600,000000,Proteins,Isopure protein powder,58.14,1.1598,29.07,359,0,0.86,0,0,1.1598,0,698,1.26,233,581,872,372,8.72,1.163,40.7,872,872,1,0,7.8498,0,0,0,0,34.8999,0.872,0.988,11.628,1.163,233,3.49,225,46.5,233,0,395,7.8498,3.49,12,0.581
5862,26205170,000000,Proteins,"Octopus, dried",56.52,3.94,8.3399,311,0,23.9898,0,0,0,0,201,20.1,114,705,1327,1313,6.37,1.649,169.8,145,145,0,0,4.5499,0,0,0,0,18,0.102,0.121,7.5629,1.296,58,72.03,246.4,0.4,0,58,58,0,0,182,0.861
1794,41430010,000000,Proteins,"Protein supplement, powdered",56.3999,3.5,28.1999,370,0,8.3,0,0,0,4.9,438,44.4399,38,882,378,653,3.91,1.542,0.8,0,0,0,0,0.33,12.5,0,0,0,0,6.8799,7.2,35.27,1.76,170,0,184.3,0,0,170,170,0,0,0,0.583
1795,41430310,000000,Proteins,Protein diet powder with soy and casein,56.3999,3.5,28.1999,388,0,8.3,0,0,27.1999,1,1764,44.4399,38,882,378,653,3.91,1.542,34.2999,0,0,0,0,0.33,10,0,0,0,0,6.8799,7.2,35.27,1.76,170,0.4,179.6999,0,0,170,170,0,0,0,0.583
905,26119170,000000,Proteins,"Herring, dried, salted",55.71,28.0398,0,490,0,10.98,0,0,0,0,177,3.4199,99,732,1014,1181,3.0699,0.286,113.2,74,74,0,0,3.3199,13,0,0,0,1.7,0.243,0.723,9.9779,0.843,28,31.8,201.5998,0.3,0,28,28,0,0,186,6.328
159,11831500,000000,Proteins,"Nutrient supplement powder, milk-based, high protein, not reconstituted",55.6,7.4,18.5,363,0,15,25,290,17.5,1,741,13.3,296,704,593,385,11.1,1.481,33.7999,963,966,37,0,14.9,0,0,0,0,66.7,1.6699,1.9299,14.8,2.22,296,5.5499,81.5999,0.5,0,296,296,14.9,5.5499,0,0.707
6543,95201500,000000,Proteins,"Herbalife, nutritional shake mix, high protein, powder",53.57,10.71,20.3798,392,0,8.3,0,0,3.5699,0,714,22.5,500,1429,1000,1214,18.75,2.5,87.5,1875,1875,0,0,16.8798,12.5,0,0,0,75,2.1429,2.125,25,2.5,571,6.4298,179.6999,125,571,0,971,0,0,0,0
1084,26319170,000000,Proteins,"Shrimp, dried",51.7,3.4399,0,253,0,38.8599,0,0,0,0,367,5.3898,84,494,203,2203,4.96,0.663,120.3,0,0,0,0,2.7799,0,0,0,0,10.4,0.018,0.038,1.413,0.025,23,1.87,204.8,0,0,23,23,0,0,638,0.476
6547,95202010,000000,Proteins,"Muscle Milk, light, powder",50,12,22,396,0,12,0,0,4,2,1200,12,280,700,840,250,10,1.3998,33.7999,1050,1050,0,0,9.4498,7,0,0,0,42,1,1.2,14,1.3998,280,4.2,81.5999,0.5,280,0,476,9.4498,4.2,10,1.087
