,Food Code,Category,Food,Proteins (g),Fats (g),Carbs (g),Calories,Cholesterol,Saturated Fats (g),Total Fat (% Calories),Total Protein (% Calories),Total Carbohydrate (% Calories),Gram_Weight,Portion_Desc
0,11111000,Fats,"Milk, whole",3.1499,3.25,4.7999,61.0,10.0,1.865,47.9508,20.6551,31.4748,244.0,cup
1,11111100,Fats,"Milk, whole, low-sodium",3.1,3.4599,4.4599,61.0,14.0,2.1539,51.0477,20.3279,29.2452,244.0,cup
2,11111150,Fats,"Milk, whole, calcium fortified",3.1499,3.25,4.7999,61.0,10.0,1.865,47.9508,20.6551,31.4748,247.0,cup
3,11111160,Carbs,"1% milk, calcium fortified ",3.37,0.97,4.99,42.0,5.0,0.633,20.7857,32.0952,47.5238,247.0,cup
4,11111170,Carbs,"Fat free milk, calcium fortified ",3.3999,0.18,4.8498,35.0,2.0,0.11699999999999999,4.6286,38.856,55.4263,247.0,cup
5,11112110,Carbs,2% milk,3.2999,1.98,4.7999,50.0,8.0,1.2568,35.64,26.3992,38.3992,244.0,cup
6,11112120,Carbs,1% acidophilus milk,3.37,0.97,4.99,42.0,5.0,0.633,20.7857,32.0952,47.5238,242.0,cup
7,11112130,Carbs,2% acidophilus milk,3.2999,1.98,4.7999,50.0,8.0,1.2568,35.64,26.3992,38.3992,245.0,cup
8,11112210,Carbs,1% milk,3.37,0.97,4.99,42.0,5.0,0.633,20.7857,32.0952,47.5238,244.0,cup
9,11113000,Carbs,Fat free milk ,3.37,0.08,4.96,34.0,2.0,0.055999999999999994,2.1176,39.6471,58.3529,245.0,cup
10,11114300,Carbs,"1% milk, lactose-free (Lactaid)",3.37,0.97,4.99,42.0,5.0,0.633,20.7857,32.0952,47.5238,246.0,cup
11,11114310,Carbs,"1% milk, lactose-free (Lactaid), calcium-fortified",3.37,0.97,4.99,42.0,5.0,0.633,20.7857,32.0952,47.5238,247.0,cup
12,11114320,Carbs,"Fat free milk, lactose-free",3.37,0.08,4.96,34.0,2.0,0.055999999999999994,2.1176,39.6471,58.3529,245.0,cup
13,11114321,Carbs,"Fat free milk, lactose-free, calcium fortified",3.3999,0.18,4.8498,35.0,2.0,0.11699999999999999,4.6286,38.856,55.4263,247.0,cup
14,11114330,Carbs,"2% milk, lactose-free (Lactaid)",3.2999,1.98,4.7999,50.0,8.0,1.2568,35.64,26.3992,38.3992,244.0,cup
15,11114350,Fats,"Lactaid milk, whole milk",3.1499,3.25,4.7999,61.0,10.0,1.865,47.9508,20.6551,31.4748,244.0,cup
16,11115000,Carbs,"Buttermilk, fat free (skim)",3.31,0.88,4.79,40.0,4.0,0.5479999999999999,19.8,33.1,47.9,245.0,cup
17,11115100,Carbs,1% buttermilk,3.31,0.88,4.79,40.0,4.0,0.5479999999999999,19.8,33.1,47.9,245.0,cup
18,11115200,Carbs,2% buttermilk,4.0998,2.0,5.2999,56.0,8.0,1.242,32.1429,29.2843,37.8564,245.0,cup
19,11115300,Fats,"Buttermilk, whole",3.21,3.31,4.8799,62.0,11.0,1.899,48.0484,20.7097,31.4832,245.0,cup
20,11116000,Fats,Goat's milk ,3.56,4.1398,4.45,69.0,11.0,2.6669,53.9974,20.6377,25.7971,244.0,cup
21,11121100,Fats,"Milk, dry, whole, reconstituted",3.24,3.29,4.73,61.0,12.0,2.06,48.541,21.2459,31.0164,244.0,cup
22,11121210,Carbs,"Milk, dry, low fat, reconstituted",2.9199,1.06,4.33,38.0,4.0,0.6579999999999999,25.1053,30.7358,45.5789,245.0,cup
23,11121300,Carbs,"Milk, dry, fat free, reconstituted",3.2599,0.07,4.8498,33.0,2.0,0.043,1.9091,39.5139,58.7855,245.0,cup
24,11122000,Carbs,"Buttermilk, dry, reconstituted",3.3599,0.57,4.7999,38.0,7.0,0.35200000000000004,13.5,35.3674,50.5253,245.0,cup
25,11211050,Fats,"Evaporated milk, whole",6.8098,7.5598,10.0398,134.0,29.0,4.591,50.7748,20.3278,29.9696,15.8,tablespoon
