Action,Food_Item_ID,foodcode,modcode,foodname,_203 Protein (g),_204 Total Fat (g),_205 Carbohydrate (g),_208 Energy (kcal),_221 Alcohol (g),_255 Water (g),_262 Caffeine (mg),_263 Theobromine (mg),"_269 Sugars, total (g)","_291 Fiber, total dietary (g)",_301 Calcium (mg),_303 Iron (mg),_304 Magnesium (mg),_305 Phosphorus (mg),_306 Potassium (mg),_307 Sodium (mg),_309 Zinc (mg),_312 Copper (mg),_317 Selenium (mcg),_319 Retinol (mcg),"_320 Vitamin A, RAE (mcg_RAE)","_321 Carotene, beta (mcg)","_322 Carotene, alpha (mcg)",_323 Vitamin E (alpha-tocopherol)(mg),_328 Vitamin D (mcg),"_334 Cryptoxanthin, beta (mcg)",_337 Lycopene (mcg),_338 Lutein + zeaxanthin (mcg),_401 Vitamin C (mg),_404 Thiamin (mg),_405 Riboflavin (mg),_406 Niacin (mg),_415 Vitamin B-6 (mg),"_417 Folate, total (mcg)",_418 Vitamin B-12 (mcg),"_421 Choline, total (mg)",_430 Vitamin K (phylloquinone)(mcg),_431 Folic acid (mcg),"_432 Folate, food (mcg)","_435 Folate, DFE (mcg_DFE)","_573 Vitamin E, added (mg)","_578 Vitamin B-12, added (mcg)",_601 Cholesterol (mg),"_606 Fatty acids, total saturated (g)",_607 4:0 (g),_608 6:0 (g),_609 8:0 (g),_610 10:0 (g),_611 12:0 (g),_612 14:0 (g),_613 16:0 (g),_614 18:0 (g),_617 18:1 (g),_618 18:2 (g),_619 18:3 (g),_620 20:4 (g),_621 22:6 n-3 (g),_626 16:1 (g),_627 18:4 (g),_628 20:1 (g),_629 20:5 n-3 (g),_630 22:1 (g),_631 22:5 n-3 (g),"_645 Fatty acids, total monounsaturated (g)","_646 Fatty acids, total polyunsaturated (g)",Calc_SoFAS,Calc_Red_Org_Veg,Calc_Starchy_Veg,Calc_Meat_And_Beans,Calc_Meat_Poult_Egg,Calc_Seafood,Calc_Nuts_Seeds_Soy,Calc_Oils,Calc_Total_Fat_Prct,Calc_Sat_Fat_Prct,Calc_MonoUnsat_Fat_Prct,Calc_PolyUnsat_Fat_Prct,Calc_Linoleic_Acid_Prct,Calc_Alpha_Linoleic_Acid_Prct,Calc_Protein_Prct,Calc_Carb_Prct,Calc_Copper,Calc_Milk_Yogurt,Calc_Whole_Fruit,Calc_Alcohol,Calc_Added_Sugars,Calc_Solid_Fats,Calc_Omega3_DHA,Calc_Omega3_EPA,Calc_V_TOTAL,Calc_Protein_Foods,Calc_Protein_Nuts_Seeds_Soy,Calc_Added_Sugars_Grams
,1,11111000,000000,"Milk, whole",3.1499,3.25,4.7999,61,0,88.1299,0,0,5.0499,0,113,0.03,10,84,132,43,0.37,0.025,3.7,45,46,7,0,0.07,1.3,0,0,0,0,0.046,0.169,0.089,0.036,5,0.45,14.3,0.3,0,5,5,0,0,10,1.865,0.075,0.075,0.075,0.075,0.077,0.297,0.829,0.365,0.812,0.12,0.075,0,0,0,0,0,0,0,0,0.812,0.195,21.3840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.9508,27.5164,11.9803,2.8770,1.7705,1.1066,20.6551,31.4748,25.0000,0.4100,0.0000,0.0000,0.0000,21.3840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,2,11111100,000000,"Milk, whole, low-sodium",3.1,3.4599,4.4599,61,0,88.2,0,0,4.4599,0,101,0.05,5,86,253,3,0.38,0.01,2,28,29,7,0,0.08,1.3,0,0,0,0.9,0.02,0.105,0.043,0.034,5,0.36,16,0.3,0,5,5,0,0,14,2.1539,0.112,0.066,0.039,0.087,0.097,0.348,0.91,0.419,0.87,0.078,0.05,0,0,0.077,0,0,0,0,0,0.999,0.128,23.0850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.0477,31.7789,14.7393,1.8885,1.1508,0.7377,20.3279,29.2452,10.0000,0.4100,0.0000,0.0000,0.0000,23.0850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,3,11111150,000000,"Milk, whole, calcium fortified",3.1499,3.25,4.7999,61,0,88.1299,0,0,5.0499,0,113,0.03,10,84,132,43,0.37,0.025,3.7,45,46,7,0,0.07,1.3,0,0,0,0,0.046,0.169,0.089,0.036,5,0.45,14.3,0.3,0,5,5,0,0,10,1.865,0.075,0.075,0.075,0.075,0.077,0.297,0.829,0.365,0.812,0.12,0.075,0,0,0,0,0,0,0,0,0.812,0.195,21.3840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.9508,27.5164,11.9803,2.8770,1.7705,1.1066,20.6551,31.4748,25.0000,0.4100,0.0000,0.0000,0.0000,21.3840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,4,11111160,000000,"1% milk, calcium fortified ",3.37,0.97,4.99,42,0,89.92,0,0,5.2,0,125,0.03,11,95,150,44,0.42,0.01,3.2999,58,58,2,0,0.01,1.2,0,0,0,0,0.02,0.185,0.093,0.037,5,0.47,17.6999,0.1,0,5,5,0,0,5,0.633,0.024,0.018,0.013,0.027,0.029,0.091,0.287,0.126,0.25,0.03,0.004,0,0,0.017,0,0,0,0,0,0.277,0.035,2.9160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.7857,13.5643,5.9357,0.7500,0.6429,0.0857,32.0952,47.5238,10.0000,0.4100,0.0000,0.0000,0.0000,2.9160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,5,11111170,000000,"Fat free milk, calcium fortified ",3.3999,0.18,4.8498,35,0,90.7998,0,0,4.8498,0,204,0.04,11,101,166,52,0.4,0.011,2.1,137,137,0,0,0.01,1.2,0,0,0,1,0.036,0.14,0.088,0.04,5,0.38,16,0,0,5,5,0,0,2,0.117,0.009,0.001,0.002,0.004,0.003,0.017,0.053,0.019,0.038,0.005,0.002,0,0,0.007,0,0,0,0,0,0.047,0.007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6286,3.0086,1.2086,0.1800,0.1286,0.0514,38.8560,55.4263,11.0000,0.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,6,11112110,000000,2% milk,3.2999,1.98,4.7999,50,0,89.2099,0,0,5.0598,0,120,0.02,11,92,140,47,0.48,0.006,2.5,55,55,4,0,0.03,1.2,0,0,0,0.2,0.039,0.185,0.092,0.038,5,0.53,16.3998,0.2,0,5,5,0,0,8,1.2568,0.077,0.04,0.02,0.049,0.055,0.175,0.558,0.243,0.508,0.062,0.008,0,0,0.027,0,0.002,0,0,0,0.56,0.073,11.0970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.6400,22.6224,10.0800,1.3140,1.1160,0.1440,26.3992,38.3992,6.0000,0.4100,0.0000,0.0000,0.0000,11.0970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,7,11112120,000000,1% acidophilus milk,3.37,0.97,4.99,42,0,89.92,0,0,5.2,0,125,0.03,11,95,150,44,0.42,0.01,3.2999,58,58,2,0,0.01,1.2,0,0,0,0,0.02,0.185,0.093,0.037,5,0.47,17.6999,0.1,0,5,5,0,0,5,0.633,0.024,0.018,0.013,0.027,0.029,0.091,0.287,0.126,0.25,0.03,0.004,0,0,0.017,0,0,0,0,0,0.277,0.035,2.9160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.7857,13.5643,5.9357,0.7500,0.6429,0.0857,32.0952,47.5238,10.0000,0.4100,0.0000,0.0000,0.0000,2.9160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,8,11112130,000000,2% acidophilus milk,3.2999,1.98,4.7999,50,0,89.2099,0,0,5.0598,0,120,0.02,11,92,140,47,0.48,0.006,2.5,55,55,4,0,0.03,1.2,0,0,0,0.2,0.039,0.185,0.092,0.038,5,0.53,16.3998,0.2,0,5,5,0,0,8,1.2568,0.077,0.04,0.02,0.049,0.055,0.175,0.558,0.243,0.508,0.062,0.008,0,0,0.027,0,0.002,0,0,0,0.56,0.073,11.0970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.6400,22.6224,10.0800,1.3140,1.1160,0.1440,26.3992,38.3992,6.0000,0.4100,0.0000,0.0000,0.0000,11.0970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,9,11112210,000000,1% milk,3.37,0.97,4.99,42,0,89.92,0,0,5.2,0,125,0.03,11,95,150,44,0.42,0.01,3.2999,58,58,2,0,0.01,1.2,0,0,0,0,0.02,0.185,0.093,0.037,5,0.47,17.6999,0.1,0,5,5,0,0,5,0.633,0.024,0.018,0.013,0.027,0.029,0.091,0.287,0.126,0.25,0.03,0.004,0,0,0.017,0,0,0,0,0,0.277,0.035,2.9160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.7857,13.5643,5.9357,0.7500,0.6429,0.0857,32.0952,47.5238,10.0000,0.4100,0.0000,0.0000,0.0000,2.9160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,10,11113000,000000,Fat free milk ,3.37,0.08,4.96,34,0,90.84,0,0,5.0899,0,122,0.03,11,101,156,42,0.42,0.013,3.1,61,61,0,0,0.01,1.2,0,0,0,0,0.045,0.182,0.094,0.037,5,0.5,15.6,0,0,5,5,0,0,2,0.056,0.004,0,0.001,0.002,0.001,0.008,0.025,0.009,0.018,0.002,0.001,0,0,0.003,0,0,0,0,0,0.022,0.003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1176,1.4824,0.5824,0.0794,0.0529,0.0265,39.6471,58.3529,13.0000,0.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
